CityID,ProvinceID,CityCode,CityLongDesc,BankNo,InsertedByUserID,InsertedDateTime,UpdatedByUserID,UpdatedDateTime,OldCityID,PSGC
1,56,9000,CAGAYAN DE ORO CITY,0,691,2020-07-09 10:57:58.777,691,2020-09-03 22:09:57.387,0,
17,56,9015,MAGSAYSAY,0,776,2020-07-13 13:28:22.480,691,2020-09-03 22:12:50.807,0,1705105000
25,56,9012,TALISAYAN,0,776,2020-07-13 13:32:46.523,691,2020-09-03 22:16:45.107,0,1004325000
28,52,8721,DAMULOG,0,776,2020-07-13 14:16:27.760,691,2020-09-03 22:17:16.833,0,1001302000
30,52,8702,IMPASUG-ONG,0,776,2020-07-13 14:17:26.287,691,2020-09-03 22:17:41.787,0,1001305000
34,52,8720,KIBAWE,0,776,2020-07-13 14:19:19.397,691,2020-09-03 22:18:00.237,0,1001308000
47,52,8701,SUMILAO,0,776,2020-07-13 14:24:52.380,691,2020-09-03 22:14:03.717,0,1001319000
51,71,9320,AMAI MANABILANG,0,691,2020-08-13 15:29:33.903,691,2020-09-03 22:19:20.627,0,1903637000
52,39,6329,TUBIGON,0,691,2021-10-04 19:42:54.157,691,2021-10-04 19:42:54.157,0,0701245000
75,39,6323,SAN MIGUEL,0,691,2021-11-24 09:50:55.617,691,2021-11-24 09:50:55.617,0,0301421000
79,51,7004,NAGA,0,691,2022-04-21 12:29:14.447,691,2022-04-21 12:29:14.447,0,0908309000
139,60,8204,BAGANGA,0,973,2022-11-04 14:33:28.927,973,2022-11-04 14:44:11.207,0,1102501000
140,60,8208,BANAYBANAY,0,973,2022-11-04 14:34:57.910,973,2022-11-04 14:34:57.910,0,1102502000
143,60,8205,CATEEL,0,973,2022-11-04 14:38:51.550,973,2022-11-04 14:45:21.380,0,1102505000
171,58,8001,SANTA CRUZ,0,973,2023-03-20 14:22:38.557,973,2023-03-20 14:22:38.557,0,0102924000
176,82,1607,PASIG CITY,0,973,2023-06-19 13:12:15.043,691,2024-04-23 14:18:50.680,0,
193,119,8011,STA. MARIA,0,972,2023-11-29 11:20:37.277,972,2023-11-29 11:20:37.277,0,
198,78,2601,LA TRINIDAD,0,691,2024-02-19 16:45:36.930,691,2024-02-19 16:45:36.930,0,
199,78,2600,BAGUIO CITY,0,691,2024-02-19 16:47:59.767,691,2024-02-19 16:47:59.767,0,
222,37,5018,BALASAN,0,691,2024-03-27 09:16:31.560,691,2024-03-27 09:16:31.560,0,0603005000
285,13,3114,TALAVERA,0,691,2024-04-29 11:26:38.513,691,2024-04-29 11:26:38.513,0,0304930000
286,13,3119,MUNOZ,0,691,2024-04-29 11:28:22.650,691,2024-04-29 11:28:22.650,0,
287,22,4900,BOAC,0,691,2024-04-29 17:05:12.680,691,2024-04-29 17:05:12.680,0,
303,49,7112,SINDANGAN,0,972,2024-07-31 19:16:42.910,972,2024-07-31 19:16:42.910,0,0907218000
172,86,8803,COMPOSTELA,0,972,2024-09-04 09:34:52.180,972,2024-09-04 09:34:52.180,0,0702218000
306,192,8012,MALITA,0,973,2024-10-29 10:20:28.103,973,2024-10-29 10:20:28.103,0,
318,72,9601,DATU ODIN SINSUAT,0,973,2024-12-17 10:44:48.753,973,2024-12-17 10:44:48.753,0,1903807000
325,7,1234,Quezon,0,1234,2025-05-20 13:35:00.987,1234,2025-05-20 13:35:00.987,0,0203122000
3,56,9005,BALINGASAG,0,776,2020-07-13 13:19:35.173,691,2020-09-03 22:10:19.067,0,1004302000
5,56,9008,BINUANGAN,0,776,2020-07-13 13:20:29.603,691,2020-09-03 22:10:39.127,0,1004304000
7,56,9017,EL SALVADOR,0,776,2020-07-13 13:21:47.957,691,2020-09-03 22:11:29.970,0,
8,56,9014,GINGOOG CITY,0,776,2020-07-13 13:22:07.927,691,2020-09-03 22:11:39.297,0,
10,56,9022,INITAO,0,776,2020-07-13 13:24:34.733,691,2020-09-03 22:11:56.247,0,1004310000
11,56,9003,JASAAN,0,776,2020-07-13 13:26:05.887,691,2020-09-03 22:12:04.007,0,1004311000
12,56,9010,KINOGUITAN,0,776,2020-07-13 13:26:48.533,691,2020-09-03 22:12:14.327,0,1004312000
13,56,9006,LAGONGLONG,0,776,2020-07-13 13:27:10.213,691,2020-09-03 22:12:23.283,0,1004313000
14,56,9019,LAGUINDINGAN,0,776,2020-07-13 13:27:29.340,691,2020-09-03 22:12:31.727,0,1004314000
16,56,9025,LUGAIT,0,776,2020-07-13 13:28:02.420,691,2020-09-03 22:13:00.110,0,1004316000
