ID,Description,Remarks,InsertedByUserID,InsertedDateTime,UpdatedByUserID,UpdatedDateTime
1,CEO,,1234,2014-03-12 15:47:27.000,691,2024-04-02 10:38:50.260
2,OPERATIONS DIVISION MANAGER,,1234,2014-03-12 15:48:01.000,691,2024-04-02 10:39:30.547
3,AREA MANAGER,,1234,2014-03-12 15:48:21.000,691,2024-04-02 10:39:43.903
4,BRANCH MANAGER,,1234,2014-03-12 15:48:34.000,691,2024-04-02 10:39:52.507
5,MEMBERSHIP DEVELOPMENT OFFICER,,1234,2014-03-12 15:48:50.000,691,2024-04-04 11:22:26.400
6,LOANS OFFICER,,1234,2014-03-12 15:49:27.000,691,2024-04-04 11:22:58.680
7,LOANS MONITORING OFFICER,,1234,2014-03-12 15:50:15.000,691,2024-04-04 11:23:31.037
8,REMEDIAL MONITORING OFFICER,,1234,2014-03-12 15:50:26.000,691,2024-04-04 11:24:01.270
9,CASHIER,,1234,2014-03-12 15:50:54.000,691,2024-04-04 11:24:28.340
10,BOOKKEEPER,,1234,2014-03-12 15:51:11.000,691,2024-04-04 11:24:46.010
11,ACCOUNT OFFICER,,1234,2014-03-12 15:51:16.000,691,2024-04-04 11:25:07.793
12,TELLER,,1234,2014-03-12 15:51:34.000,691,2024-04-04 11:25:29.050
13,CREDIT INVESTIGATOR/APPRAISER,,1234,2014-03-12 15:52:14.000,691,2024-04-04 11:25:50.217
14,SALES & MARKETING SPECIALIST,,1234,2014-03-12 15:52:55.000,691,2024-04-04 11:26:17.583
15,NEW ACCOUNTS CLERK,,972,2022-12-28 10:55:18.333,691,2024-04-04 11:26:39.640
16,LOANS CLERK,,691,2024-04-04 11:27:51.267,691,2024-04-04 11:27:51.267
17,MORTGAGE CLERK,,691,2024-04-04 11:28:08.933,691,2024-04-04 11:28:08.933
18,ATM SPECIALIST,,691,2024-04-04 11:28:31.533,691,2024-04-04 11:28:31.533
19,ACCOUNTING CLERK,,691,2024-04-04 11:28:53.967,691,2024-04-04 11:28:53.967
20,DRIVER,,691,2024-04-04 11:29:08.690,691,2024-04-04 11:29:08.690
21,MESSENGER/UTILITY,,691,2024-04-04 11:29:18.290,691,2024-04-04 11:29:18.290
22,LOANS MONITORING CLERK,,691,2024-04-04 11:30:06.700,691,2024-04-04 11:30:06.700
23,COMPLIANCE OFFICER,,691,2024-04-04 11:32:11.040,691,2024-04-04 11:32:11.040
24,EXECUTIVE ASSISTANT,,691,2024-04-04 11:32:27.727,691,2024-04-04 11:32:27.727
25,RESEARCH & DEVELOPMENT SPECIALIST,,691,2024-04-04 11:32:47.503,691,2024-04-04 12:00:04.960
26,RECORDING SECRETARY OF THE BOD & OFFICERS,,691,2024-04-04 11:33:08.903,691,2024-04-04 11:59:48.093
27,SENIOR CREDIT ANALYST,,691,2024-04-04 11:34:18.493,691,2024-04-04 11:34:18.493
28,SENIOR APPRAISER,,691,2024-04-04 11:34:29.870,691,2024-04-04 11:34:29.870
29,REMEDIAL MONITORING UNIT HEAD,,691,2024-04-04 11:34:54.593,691,2024-04-04 11:34:54.593
30,LITIGATION OFFICER,,691,2024-04-04 11:35:19.540,691,2024-04-04 11:35:19.540
31,MORTGAGE UNIT HEAD,,691,2024-04-04 11:35:35.403,691,2024-04-04 11:35:35.403
32,JUNIOR CREDIT ANALYST,,691,2024-04-04 11:35:59.477,691,2024-04-04 11:35:59.477
33,JUNIOR APPRAISER,,691,2024-04-04 11:36:23.420,691,2024-04-04 11:36:23.420
34,CURRENT COLLECTION UNIT HEAD,,691,2024-04-04 11:37:17.837,691,2024-04-04 11:37:17.837
