OccupationID,OccupationCode,OccupationLongDesc,InsertedByUserID,InsertedDateTime,UpdatedByUserID,UpdatedDateTime,CICCode
1,FREE,FREELANCER,691,2024-09-09 14:51:18.083,691,2024-09-09 14:51:18.083,
2,SK,SK CHAIRPERSON,972,2024-12-16 17:07:57.817,972,2024-12-16 17:07:57.817,
3,CI,CREDIT INVESTIGATOR,972,2024-12-23 14:45:51.867,972,2024-12-23 14:45:51.867,
4,AM,AREA MANAGER,972,2024-12-23 16:53:08.027,972,2024-12-23 16:53:08.027,
5,DT,DIALYSIS TECHNICIAN,972,2024-12-23 17:09:35.803,972,2024-12-23 17:09:35.803,
6,GLA,GLOBAL TRADE ANALYST,972,2025-02-18 10:54:46.583,972,2025-02-18 10:54:46.583,
58,ONL,ONLINE BUSINESS,1234,2013-01-23 09:54:30.000,1001,2017-08-01 10:09:00.000, 
59,OFFAM,OF & FAMILIES,691,2021-11-25 11:45:09.710,691,2021-11-25 11:45:23.107,
60,,FIREMAN,1691,2022-07-11 14:07:55.343,1691,2022-07-11 14:07:55.343,
61,B2,BUSINESS - RESTAURANTS,1234,2013-01-23 10:41:10.000,5000,2017-11-10 11:54:09.590, 
62,B3,BUSINESS - PARLORS,1234,2013-01-23 10:41:34.000,1234,2016-04-21 16:33:03.000, 
63,B4,BUSINESS - BAKERY,1234,2013-01-23 10:41:55.000,1234,2016-04-21 16:33:09.000, 
64,B5,BUSINESS - RENT A VAN,1234,2013-01-23 10:42:15.000,1001,2017-08-04 00:25:00.000, 
65,CON,CONTRUCTORS,1234,2013-01-23 10:42:37.000,1234,2013-01-23 10:42:37.000, 
66,OF,OF,1234,2013-01-23 10:43:03.000,691,2021-11-25 11:44:34.517, 
67,INTS,INSTITUTIONS/ ASSOCIATIONS,1234,2013-01-23 10:43:30.000,1234,2013-01-23 10:43:30.000, 
68,DEP,DEP-ED EMPLOYEES,1234,2013-01-23 10:44:25.000,1234,2013-01-23 10:44:25.000, 
69,DEP-N,NON DEP-ED EMPLOYEES,1234,2013-01-23 10:44:58.000,1234,2013-01-23 10:45:40.000, 
