BarangayID,CityID,BarangayCode,BarangayLongDesc,BankNo,InsertedByUserID,InsertedDateTime,UpdatedByUserID,UpdatedDateTime,OldBarangayID,OldCityID,ZipCode
1,1,9000,BALULANG,0,691,2020-07-09 10:59:17.693,691,2020-09-16 19:17:16.703,0,0,
2,1,9000,BAIKINGON,0,691,2020-07-13 10:28:18.070,691,2020-09-16 17:26:24.687,0,0,
3,1,9000,BAYABAS,0,691,2020-07-13 10:28:44.810,691,2020-09-16 17:36:03.413,0,0,
4,1,9000,BAYANGA,0,691,2020-07-13 10:30:50.667,691,2020-09-16 17:36:15.013,0,0,
5,1,9000,BESIGAN,0,691,2020-07-13 10:31:16.597,691,2020-09-16 17:36:23.553,0,0,
6,1,9000,BONBON,0,691,2020-07-13 10:31:28.607,691,2020-09-16 17:47:17.100,0,0,
7,1,9000,UPPER BULUA,0,691,2020-07-13 10:32:06.950,691,2020-09-14 23:36:31.730,0,0,
8,1,9000,CANITOAN,0,691,2020-07-13 10:33:23.937,691,2020-09-16 17:45:24.280,0,0,
9,1,9000,CARMEN,0,691,2020-07-13 10:34:26.027,691,2020-09-16 17:45:31.547,0,0,
10,1,9000,DANSOLIHON,0,691,2020-07-13 10:36:51.390,691,2020-09-16 17:45:39.857,0,0,
11,1,9000,IPONAN,0,691,2020-07-13 10:37:12.473,691,2020-09-16 17:45:46.900,0,0,
12,1,9000,KAUSWAGAN,0,691,2020-07-13 10:37:37.957,691,2020-09-16 17:45:57.567,0,0,
13,1,9000,LUMBIA,0,691,2020-07-13 10:37:56.920,691,2020-09-16 17:46:05.103,0,0,
14,1,9000,MAMBUAYA,0,691,2020-07-13 10:38:13.663,691,2020-09-16 17:46:12.530,0,0,
15,1,9000,PAGALUNGAN,0,691,2020-07-13 10:38:39.547,691,2020-09-16 17:46:56.927,0,0,
16,1,9000,PAGATPAT,0,691,2020-07-13 10:39:31.943,691,2020-09-16 17:46:21.740,0,0,
17,1,9000,PATAG,0,691,2020-07-13 10:39:54.057,691,2020-09-16 17:46:29.840,0,0,
18,1,9000,PIGSAG-AN,0,691,2020-07-13 10:40:52.727,691,2020-09-16 17:48:52.440,0,0,
19,1,9000,SAN SIMON,0,691,2020-07-13 10:41:41.013,691,2020-09-16 17:46:39.170,0,0,
20,1,9000,TAGLIMAO,0,691,2020-07-13 10:43:46.830,691,2020-09-16 17:47:43.160,0,0,
21,1,9000,TAGPANGI,0,776,2020-07-13 11:09:36.130,691,2020-09-16 17:47:54.960,0,0,
22,1,9000,TIGNAPOLOAN,0,776,2020-07-13 11:12:41.193,691,2020-09-16 17:48:28.693,0,0,
23,1,9000,TUBURAN,0,776,2020-07-13 11:13:15.180,691,2020-09-16 17:46:47.923,0,0,
24,1,9000,TUMPAGON,0,776,2020-07-13 11:13:44.477,691,2020-09-16 17:48:14.303,0,0,
25,1,9000,AGUSAN,0,776,2020-07-13 11:16:35.000,691,2020-09-16 17:48:40.690,0,0,
26,1,9000,BALUBAL,0,776,2020-07-13 11:17:04.227,691,2020-09-16 17:49:01.053,0,0,
27,1,9000,BUGO,0,776,2020-07-13 11:17:26.303,691,2020-09-16 17:48:02.767,0,0,
28,1,9000,CAMAMAN-AN,0,776,2020-07-13 11:17:45.997,691,2020-09-16 17:49:13.123,0,0,
29,1,9000,CONSOLACION,0,776,2020-07-13 11:18:03.087,691,2020-09-16 17:49:28.753,0,0,
30,1,9000,CUGMAN,0,776,2020-07-13 11:18:44.283,691,2020-09-16 17:52:50.067,0,0,
31,1,9000,F.S. CATANICO,0,776,2020-07-13 11:19:08.390,691,2020-09-16 17:59:57.540,0,0,
32,1,9000,GUSA,0,776,2020-07-13 11:19:27.107,691,2020-09-16 17:53:10.887,0,0,
33,1,9000,INDAHAG,0,776,2020-07-13 11:19:41.583,691,2020-09-16 17:53:36.187,0,0,
34,1,9000,LAPASAN,0,776,2020-07-13 11:19:52.733,691,2020-09-16 18:10:39.987,0,0,
35,1,9000,MACABALAN,0,776,2020-07-13 11:20:26.770,691,2020-09-16 18:11:01.643,0,0,
36,1,9000,MACASANDIG,0,776,2020-07-13 11:20:52.880,691,2020-09-16 18:11:59.640,0,0,
37,1,9000,NAZARETH,0,776,2020-07-13 11:21:15.600,691,2020-09-16 17:53:58.190,0,0,
38,1,9000,PUERTO,0,776,2020-07-13 11:21:37.620,691,2020-09-16 18:01:05.780,0,0,
39,1,9000,PUNTOD,0,776,2020-07-13 11:21:58.133,691,2020-09-16 18:12:14.647,0,0,
40,1,9000,TABLON,0,776,2020-07-13 11:22:13.257,691,2020-09-16 18:12:24.963,0,0,
41,1,9000,BARANGAY 1,0,776,2020-07-13 11:22:39.733,691,2020-09-16 18:12:35.410,0,0,
42,1,9000,BARANGAY 2,0,776,2020-07-13 11:22:53.010,691,2020-09-16 18:12:48.190,0,0,
43,1,9000,BARANGAY 3,0,776,2020-07-13 11:23:10.407,691,2020-09-16 18:12:58.780,0,0,
44,1,9000,BARANGAY 4,0,776,2020-07-13 11:23:22.763,691,2020-09-16 18:15:33.667,0,0,
45,1,9000,BARANGAY 5,0,776,2020-07-13 11:23:36.480,691,2020-09-16 18:15:48.720,0,0,
46,1,9000,BARANGAY 6,0,776,2020-07-13 11:24:21.670,691,2020-09-16 18:15:57.630,0,0,
47,1,9000,BARANGAY 7,0,776,2020-07-13 11:24:37.330,691,2020-09-16 18:16:15.743,0,0,
48,1,9000,BARANGAY 8,0,776,2020-07-13 11:24:49.930,691,2020-09-16 18:16:48.357,0,0,
49,1,9000,BARANGAY 9,0,776,2020-07-13 11:25:02.300,691,2020-09-16 18:17:02.990,0,0,
50,1,9000,BARANGAY 10,0,776,2020-07-13 11:25:16.373,691,2020-09-16 18:17:19.283,0,0,
51,1,9000,BARANGAY 11,0,776,2020-07-13 11:25:26.980,691,2020-09-16 18:16:32.973,0,0,
52,1,9000,BARANGAY 12,0,776,2020-07-13 11:25:47.500,691,2020-09-16 18:17:37.300,0,0,
53,1,9000,BARANGAY 13,0,776,2020-07-13 11:25:59.307,691,2020-09-16 18:17:45.430,0,0,
