BusinessActivityID,Description,Remarks,InsertedByUserID,InsertedDateTime,UpdatedByUserID,UpdatedDateTime,RiskRating,AutoTaggedAs
2,AGRICULTURE/FISH/FORESTRY,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
3,BANKING/FINANCIALINSTITUTION,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
4,CEMENT,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
5,CONSTRUCTION,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
6,CONSULTANCY,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
7,EDUCATION,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
8,ELECTRICITY/GAS/WATER,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
9,EVENTS COORDINATOR,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
10,ENTERTAINMENT AND ARTS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
11,FERTILIZERS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
12,FOOD SERVICES,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
13,HEALTH AND WELLNESS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
14,HOUSEHOLD EMPLOYER,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
15,INFORMATION AND COMMUNICATION,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
16,INSURANCEADVERTISING AND PROMOTIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
17,LENDINGADVERTISING AND PROMOTIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
18,LIVESTOCK RAISINGADVERTISING AND PROMOTIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
19,MEDICAL SERVICESADVERTISING AND PROMOTIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
20,MOTOR VEHICLE AND PARTSADVERTISING AND PROMOTIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
21,PRINTING/PUBLISHINGADVERTISING AND PROMOTIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
22,PROFESSIONAL PRACTICEADVERTISING AND PROMOTIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
23,PUBLICLY LISTED COMPANIES SUBJECT TO REGULATORY DISCLOSURE REQUIREMENTSADVERTISING AND PROMOTIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
24,PUV OPERATORSADVERTISING AND PROMOTIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
25,RELIGIONADVERTISING AND PROMOTIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
26,RESTAURANTS/BAR/CAFéADVERTISING AND PROMOTIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
27,SCIENTIFIC AND TECHNICAL ACTIVITIES/SKILL PROVIDERSADVERTISING AND PROMOTIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
28,TRANSPORTATION/STORAGE AND WAREHOUSINGADVERTISING AND PROMOTIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
29,TRUST ENTITIES AND QUASI BANKS AUTHORIZED BY THE BSP TO OPERATE AS SUCHADVERTISING AND PROMOTIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
30,UTILITIESADVERTISING AND PROMOTIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
31,WHOLESALE AND RETAILADVERTISING AND PROMOTIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
32,MARKET VENDORADVERTISING AND PROMOTIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
33,STUDENTADVERTISING AND PROMOTIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
34,HOUSEWIFEADVERTISING AND PROMOTIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Low,None
35,AQUACULTURE,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
36,BPO (CALL CENTER),,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
37,CHEMICALS/PETROL/DYE,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
38,COAL,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
39,COTTON/TEXTILE,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
40,ENGINEERING/ELECTRONICS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
41,ELECTRICITY GENERATOR/TRANSMITTERS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
42,ELECTRONICS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
43,FINANCIAL SERVICES,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
44,FOOD/BEVERAGE PRODUCTION,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
45,FOOD PROCESSING,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
46,HOSPITALS AND MEDICAL PROVIDERS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
47,FUR AND SUBSTITUTE OF LEATHER,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
48,GAS INDUSTRIES,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
49,HOTELS/RESORTS/ACCOMMODATIONS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
50,INFRASTRUCTURE POWER,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
51,INFRASTRUCTURE ROADS AND PARTS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
52,INFRASTRUCTURE TELECOM,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
53,IRON AND STEEL,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
54,LEATHER AND LEATHER PRODUCTS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
55,MACHINE PARTS MANUFACTURING,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
56,MANUFACTURING,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
57,MEDIA,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
58,METAL PRODUCTS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
59,MULTINATIONAL,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
60,MOTORELA BUSINESS PERMIT,,691,2021-03-15 10:31:40.170,691,2021-03-15 10:31:40.170,Low,None
61,PAPER AND PAPER PRODUCTS PETROLEUM,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
62,PROTECTIVE SERVICES,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
63,RUBBER AND RUBBER PRODUCTS,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
64,SOCIAL SERVICES,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
65,SUGAR,,9998,2015-12-09 11:36:45.000,9998,2015-12-09 11:36:45.000,Normal,None
