EducationID,EducationCode,EducationLongDesc,InsertedByUserID,InsertedDateTime,UpdatedByUserID,UpdatedDateTime
1,PRIM,PRIMARY,1234,2011-09-06 14:37:55.000,1234,2013-02-20 10:19:18.000
2,ELEM,ELEMENTARY,1234,2011-09-06 14:38:10.000,1234,2013-02-20 10:20:24.000
3,HL,HIGHSCHOOL LEVEL,1234,2011-09-06 14:38:23.000,1234,2013-02-20 10:20:44.000
4,HG,HIGHSCHOOL GRADUATE,9805,2011-12-01 13:20:19.000,1234,2013-02-20 10:20:57.000
5,CL,COLLEGE LEVEL,9805,2012-02-08 09:35:13.000,1234,2013-02-20 10:21:16.000
7,VCG,VOCATIONAL COURSE GRADUATE,9805,2012-02-22 10:26:18.000,1234,2013-02-20 10:21:32.000
9,CGRAD,COLLEGE GRADUATE,1234,2013-02-20 10:14:43.000,1234,2013-02-20 10:22:21.000
11,WMU,WITH MASTERAL UNITS,1234,2013-02-20 10:16:04.000,1234,2013-02-20 10:22:34.000
12,GMD,GRADUATE MASTERS DEGREE,1234,2013-02-20 10:16:30.000,1234,2013-02-20 10:23:12.000
13,WDU,WITH DOCTORAL UNITS,1234,2013-02-20 10:18:03.000,1234,2013-02-20 10:24:19.000
14,PG,POST GRADUATE,1234,2013-02-20 10:23:56.000,21,03/09/2017
15,ST,STUDENT,3001,2017-08-11 19:37:00.000,3001,2017-08-11 19:37:00.000
16,UND,UNDERGRADUATE,1001,2017-08-24 20:05:00.000,1001,2017-08-24 20:05:00.000
17,NF,NO FORMAL SCHOOLING,154,2018-02-23 10:25:00.000,154,2018-02-23 10:25:00.000
18,ASC,ASSOCIATE DEGREE,154,2018-02-23 10:25:00.000,154,2018-02-23 10:25:00.000
