IndustryID,Code,Description,InsertedByUserID,InsertedDateTime,UpdatedByUserID,UpdatedDateTime,PSIC
1,011,GROWING OF NON-PERRENIAL CROPS,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
2,0111,"GROWING OF CEREALS (EXCEPT RICE AND CORN), LEGUMINOUS CROPS AND OIL SEEDS",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
3,01111,"GROWING OF LEGUMINOUS CROPS SUCH AS: MONGO, STRING BEANS (SITAO),PIGEON PEAS, GISANTES, GARBANZOS, BOUNTIFUL BEANS (HABICHUELAS),",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
4,01112,GROWING OF GROUND NUTS,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
5,01113,"GROWING OF OIL SEEDS (EXCEPT GROUND NUTS) SUCH AS SOYA BEANS, SUNFLOWER AND GROWING OF OTHER OIL SEEDS, N.E.C.",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
6,01114,"GROWING OF SORGHUM, WHEAT",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
7,01119,"GROWING OF OTHER CEREALS (EXCEPT RICE AND CORN), LEGUMINOUS CROPS AND OIL SEEDS, N.E.C.",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
8,0112,GROWING OF PADDY RICE,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
9,01121,"GROWING OF PADDY RICE, LOWLAND, IRRIGATED",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
10,01122,"GROWING OF PADDY RICE, LOWLAND, RAINFED",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
11,01123,"GROWING OF PADDY RICE, UPLAND/KAINGIN",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
12,0113,"GROWING OF CORN, EXPCEPT YOUNG CORN (VEGETABLE)",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
13,01130,"GROWING OF CORN, EXPCEPT YOUNG CORN (VEGETABLE)",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
14,0114,GROWING OF SUGARCANE INCLUDING MUSCOVADO SUGAR-MAKING IN THE FARM,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
15,01140,GROWING OF SUGARCANE INCLUDING MUSCOVADO SUGAR-MAKING IN THE FARM,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
16,0115,GROWING OF TOBACCO,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
17,01151,GROWING OF VIRGINIA TOBACCO INCLUDING FLUE-CURING DONE IN THE FARM,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
18,01152,GROWING OF NATIVE TOBACCO INCLUDING FLUE-CURING DONE IN THE FARM,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
19,0116,GROWING OF FIBER CROPS,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
20,01161,GROWING OF ABACA,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
21,01162,GROWING OF COTTON,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
22,01163,GROWING OF KAPOK,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
