RegionID,RegionCode,RegionLongDesc,BankNo,InsertedByUserID,InsertedDateTime,UpdatedByUserID,UpdatedDateTime,CountryID
1,01,ILOCOS REGION,1725,9999,2007-06-29 17:15:57.200,9999,2008-07-08 14:57:39.920,608
2,02,CAGAYAN VALLEY,1725,9999,2007-06-29 17:15:57.200,8002,09/25/2017,608
3,03,CENTRAL LUZON,1725,9999,2007-06-29 17:15:57.200,9999,2008-07-08 14:58:04.577,608
4,04A,CALABARZON,0,9999,2007-06-29 17:15:57.200,9999,2008-02-06 14:37:12.810,608
5,04B,MIMAROPA,0,9999,2007-06-29 17:15:57.200,9999,2007-06-29 17:15:57.200,608
6,05,BICOL REGION,2400,9999,2007-06-29 17:15:57.200,9999,2008-09-29 16:33:57.937,608
7,06,WESTERN VISAYAS,0,9999,2007-06-29 17:15:57.200,9999,2007-06-29 17:15:57.200,608
8,07,CENTRAL VISAYAS,0,9999,2007-06-29 17:15:57.200,9999,2007-06-29 17:15:57.200,608
9,08,EASTERN VISAYAS,0,9999,2007-06-29 17:15:57.200,9999,2007-06-29 17:15:57.200,608
10,09,ZAMBOANGA PENINSULA,0,9999,2007-06-29 17:15:57.200,9999,2007-06-29 17:15:57.200,608
11,10,REGION 10 - NORTHERN MINDANAO,0,9999,2007-06-29 17:15:57.200,8888,09/30/2017,608
12,11,DAVAO REGION,0,9999,2007-06-29 17:15:57.200,9999,2007-06-29 17:15:57.200,608
13,12,SOCCSKSARGEN,0,9999,2007-06-29 17:15:57.200,9999,2007-06-29 17:15:57.200,608
14,13,CARAGA,0,9999,2007-06-29 17:15:57.200,9999,2008-02-11 20:01:09.000,608
16,CAR,CORDILLERA ADMINISTRATIVE REGION,0,9999,2007-06-29 17:15:57.200,9999,2008-02-11 19:56:28.610,608
17,NCR,NATIONAL CAPITAL REGION ,0,9999,2007-06-29 17:15:57.200,691,2024-04-23 12:46:03.243,608
18,DVO,DAVAO DEL NORTE,492,141,2013-06-19 10:25:53.000,141,2013-06-19 10:25:53.000,608
21,RXII,REGION XII,492,185,2013-07-12 18:13:32.000,185,2013-07-12 18:13:32.000,608
23,ARMM,AUTONOMOUS REGION IN MUSLIM MINDANAO,492,185,2013-07-13 19:10:36.000,185,2013-07-13 19:10:36.000,608
24,RGN12,REGION 12 SOCSKSARGEN,492,185,2013-07-13 19:13:41.000,185,2013-07-13 19:13:41.000,608
25,RGN11,REGION 11,492,185,2013-07-22 10:38:24.000,185,2013-07-22 10:38:24.000,608
26,JP,OKAYO,492,1234,2016-04-19 16:50:18.000,1234,2016-04-19 16:50:18.000,392
27,COR,CORDOVA,0,8002,09/12/2017,8002,09/12/2017,380
28,ESS,ESSEX,0,8002,09/20/2017,8002,09/20/2017,826
29,MISS,MISSOURI,0,8002,09/20/2017,8002,09/20/2017,840
30,1,REGION I,0,8002,09/25/2017,8002,09/25/2017,608
31,ALB,ALBERTA,0,8002,10/04/2017,8002,10/04/2017,124
32,ILI,ILIGAN CITY,0,5004,10/04/2017,8888,11/09/2017,608
33,LAN,LANAO DEL NORTE,0,5004,10/04/2017,8888,11/09/2017,608
34,SUL,SULU,0,5003,10/10/2017,5003,10/10/2017,608
35,ONT,ONTARIO,0,8002,10/11/2017,8002,10/11/2017,124
36,LAZ,LAZIO,0,8002,10/11/2017,5003,10/11/2017,380
37,LOW,LOWER MAINLAND,0,5003,10/12/2017,5003,10/12/2017,124
38,BRI,BRITISH COLUMBIA,0,5003,10/12/2017,5003,10/12/2017,124
39,SAI,SAITAMAKEN,0,8002,10/17/2017,8002,10/17/2017,392
40,ENG,ENGLAND,0,5003,10/26/2017,5003,10/26/2017,826
41,MIS,MISAMIS ORIENTAL,0,5004,10/30/2017,8888,11/09/2017,608
42,SOU,SOUTHERN CALIFORNIA,0,5003,2017-11-16 15:39:34.183,5003,2017-11-16 15:41:14.907,840
43,CAL,"CASTILE AND LEÓN, SPAIN",0,1234,2018-08-08 20:26:41.727,1234,2018-08-08 20:26:41.727,724
44,PR,PACIFIC REGION,0,1234,2018-08-11 14:23:41.083,1234,2018-08-11 14:23:41.083,840
45,MA,MID-ATLANTIC,0,1234,2018-08-11 14:29:52.180,1234,2018-08-11 14:29:52.180,840
46,PH,LANAO DEL SUR,0,221,2018-08-16 19:14:11.210,221,2018-08-16 19:14:11.210,608
47,SUR,SURIGAO DEL SUR,0,252,2018-08-20 19:25:54.583,252,2018-08-20 19:25:54.583,608
48,1-345,CAYMAN ISLANDS,0,1973,2024-04-11 15:15:28.977,1973,2024-04-11 15:15:28.977,136
49,UAE,UAE,0,691,2024-04-23 13:51:34.290,691,2024-04-23 13:51:34.290,784
