TitleID,Description,InsertedByUserID,InsertedDateTime,UpdatedByUserID,UpdatedDateTime,cic_code
1,MR.,9999,2007-12-14 13:30:51.000,691,2020-09-16 21:02:11.663,10
2,MS.,9999,2007-12-14 13:30:58.000,691,2020-09-16 21:02:27.177,11
3,MRS.,9999,2007-12-14 13:31:04.000,691,2020-09-16 21:02:34.073,13
4,ENGR.,9999,2008-01-10 10:34:03.000,1234,2011-01-12 09:49:45.000,15
5,ATTY.,9999,2007-12-28 17:00:18.000,1234,2011-01-12 09:49:48.000,15
6,DRA.,9999,2007-12-28 17:00:26.000,1234,2011-01-12 09:49:50.000,14
7,DR.,9999,2007-12-28 17:00:33.000,1234,2011-01-12 09:49:52.000,14
8,HON.,9999,2008-02-12 14:10:02.000,1234,2011-01-12 09:49:54.000,16
9,REV.,9999,2008-02-12 14:10:13.000,1234,2011-01-12 09:49:57.000,16
10,CONG.,9999,2008-02-12 14:10:50.000,1234,2011-01-12 09:49:59.000,16
11,MAYOR,9999,2008-02-12 14:11:02.000,1234,2011-01-12 09:50:01.000,16
12,FR.,173,2018-09-11 17:53:22.230,173,2018-09-11 17:53:22.230,16
13,SIR,179,2018-09-18 17:19:05.720,179,2018-09-18 17:19:05.720,19
